Sample ID.,sand ,silt,clay,Tex. Class,pH H2O; 1:1,pH KCl,EC,absorbance,ppm(graph),Available P ,A,B,TITRE,B-T,OC,OM,R1,R2,titre,EA,R1,R2,titre,% N,Ex. Ca,Ex. Mg,Ex. Na,Ex. K,Ex. Zn,Ex. Cu,Ex. Mn,Ex. Fe,ECEC,%BS
A,84,8,8,LOAMY SAND,7.4,6.5,909,0.072,1.1690816,9.640246874,31.6,45.5,13.9,6.1,1.21695,2.0980218,22.1,23.1,1,0.4,8.8,11,2.2,0.616,1.5475,1.251028807,2.695652174,0.491048593,0.012236158,0.036197671,5.842737532,3.276047261,6.385229574,93.73554239
B,88,8,4,SAND/LOAMY SAND,7.71,6.69,207,0.106,1.1730868,9.673273753,1,15.9,14.9,5.1,1.01745,1.7540838,23.1,24,0.9,0.36,9,9.5,0.5,0.14,3.0575,3.510288066,1.956521739,0.716112532,0.010706638,0.007869059,2.693847834,2.201933405,9.600422337,96.25016497
C,90,6,4,SAND,7.53,6.39,93,0.085,1.170613,9.652874798,15.9,17,1.1,18.9,3.77055,6.5004282,24,25.2,1.2,0.48,7.5,8.8,1.3,0.364,1.42,1.563786008,1.934782609,0.489769821,0,0.033050047,1.947579177,9.640171858,5.888338438,91.84829464
D,88,8,4,SAND/LOAMY SAND,7.51,6.55,134,0.124,1.1752072,9.690758571,17,33.5,16.5,3.5,0.69825,1.203783,25.2,26.5,1.3,0.52,5.9,7.5,1.6,0.448,2.695,1.983539095,1.608695652,0.29028133,0,0.022033365,2.712049509,6.498388829,7.097516077,92.67349317
E,86,8,6,LOAMY SAND,7.3,6.27,135,0.336,1.2001808,9.896690877,33.5,47.8,14.3,5.7,1.13715,1.9604466,26.5,27.3,0.8,0.32,6,7.4,1.4,0.392,3.2825,2.320987654,1.695652174,0.597186701,0.007647599,0.011016682,1.601747361,5.531686359,8.216326529,96.10531545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Unit ,A,B,C,D,E,Inference ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sand ,g kg-1,840,880,900,880,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silt,g kg-1,80,80,60,80,80,,,,,,,,,,,,,,,,,,,Zn,Cu,Mn,Fe,,,,,,
clay,g kg-1,80,40,40,40,60,,,,,,,,,,,,,,,,,,,0.012236158,0.036197671,5.842737532,3.276047261,,,,,,
Textural Class,,LOAMY SAND,SAND/LOAMY SAND,SAND,SAND/LOAMY SAND,LOAMY SAND,,,,,,,,,,,,,,,,,,,0.010706638,0.007869059,2.693847834,2.201933405,,,,,,
pH H2O; 1:1,,7.4,7.71,7.53,7.51,7.3,,,,,,,,,,,,,,,,,,,0,0.033050047,1.947579177,9.640171858,,,,,,
pH KCl,,6.5,6.69,6.39,6.55,6.27,,,,,,,,,,,,,,,,,,,0,0.022033365,2.712049509,6.498388829,,,,,,
Electrical Conductivity,dS cm-1,909,207,93,134,135,,,,,,,,,,,,,,,,,,,0.007647599,0.011016682,1.601747361,5.531686359,,,,,,
Available Phosphorus,mg kg-1,9.640246874,9.673273753,9.652874798,9.690758571,9.896690877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Carbon,%,1.21695,1.01745,3.77055,0.69825,1.13715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Matter,%,2.0980218,1.7540838,6.5004282,1.203783,1.9604466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchangeable Acidity,cmol kg-1,0.4,0.36,0.48,0.52,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Nitrogen,%,0.616,0.14,0.364,0.448,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchangeable bases ,cmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcium,,1.55,3.06,1.42,2.7,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium,,1.25,3.51,1.56,1.98,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassium,,0.49,0.72,0.49,0.29,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium,,2.7,1.96,1.93,1.61,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractable micronutrients ,cmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinc,,0.01,0.01,0,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper,,0.04,0.01,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manganese,,5.84,2.69,1.95,2.71,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron,,3.28,2.2,9.64,6.5,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effective cation exchange capacity, cmol kg-1,6.39,9.6,5.89,7.1,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca BS,%,24.25665102,31.875,24.10865874,38.02816901,39.9026764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg BS,%,19.56181534,36.5625,26.48556876,27.88732394,28.22384428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K BS,%,7.668231612,7.5,8.319185059,4.084507042,7.299270073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na BS,%,42.25352113,20.41666667,32.76740238,22.67605634,20.68126521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Saturation,%,93.74021909,96.35416667,91.68081494,92.67605634,96.10705596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
