PARTICLE SIZE ANALYSIS,SAND,SILT,CLAY,Tex. Class
011(27-41),74,16,10,SANDY LOAM
2,86,10,4,LOAMY SAND
17,78,16,6,LOAMY SAND
013(11-30),76,16,8,SANDY LOAM
8,86,10,4,LOAMY SAND
013(0-11),88,6,6,LOAMY SAND
1,92,4,4,SAND
011(10-27),84,10,6,LOAMY SAND
011(0-10),64,12,24,SANDY CLAY LOAM
013(30-60),56,18,26,SANDY CLAY LOAM
017(30-70),68,12,20,SANDY LOAM
017(0-30),82,10,8,LOAMY SAND
6,86,8,6,LOAMY SAND
12,88,8,4,SAND
14,90,6,4,SAND
16,88,8,4,SAND/LOAMY SAND
013(60-120),86,10,4,LOAMY SAND
10,84,10,6,LOAMY SAND
4,88,6,6,LOAMY SAND
A,84,8,8,LOAMY SAND
B,88,8,4,SAND/LOAMY SAND
C,90,6,4,SAND
D,88,8,4,SAND/LOAMY SAND
E,86,8,6,LOAMY SAND
OLAOYE,82,10,8,LOAMY SAND
